trksub,outcome_class,designation,mpec,first_seen_utc
P12o0Y2,neo,2026 NE1,2026-N53,20260710
P12nXcB,designated_other,2026 NF1,,20260710
ST26G21,designated_other,2026 ND1,,20260710
ST26G11,neo,2026 ND1,2026-N50,20260710
A11EshI,neo,2026 NC1,2026-N49,20260710
A11EpRZ,neo,2026 NB1,2026-N48,20260710
A11Evav,linked,A11Eq8v,,20260710
C46H6E1,neo,2026 NA1,2026-N47,20260710
ST26G12,neo,2026 NZ,2026-N46,20260710
P12nX9q,neo,2026 NY,2026-N45,20260710
CEQJFF2,neo,2026 NX,2026-N44,20260710
P12o0XL,neo,2026 NW,2026-N43,20260710
CEQCZT2,neo,2026 MY4,2026-N40,20260710
P12nTOm,designated_other,2026 NV,,20260710
A11EfSk,neo,2026 NU,2026-N39,20260710
ST26G06,neo,2026 NT,2026-N38,20260710
ZTF10Eg,designated_other,2026 NL,,20260710
ZTF10Ef,designated_other,2026 NA,,20260710
ST26G05,neo,2026 NS,2026-N36,20260710
ZTF10Ed,linked,ST26G05,,20260710
P12nXai,designated_other,2019 SY47,,20260710
SO0006H,designated_other,2026 NA,,20260710
CEQJ2D2,neo,2026 NR,2026-N34,20260710
P22nTOi,neo,2026 NQ,2026-N33,20260710
C46H4Z1,neo,2026 NP,2026-N32,20260710
CEQJ3H2,neo,2026 NO,2026-N31,20260710
A11EpS9,designated_other,2026 NA,,20260710
ST26G03,neo,2026 NN,2026-N30,20260710
ST26G02,neo,2026 NM,2026-N29,20260710
SE0001H,designated_other,2026 NA,,20260710
A11Edxc,neo,2026 NL,2026-N28,20260710
P12nTNZ,neo,2026 NK,2026-N23,20260710
A11ElG5,designated_other,2015 VH66,,20260710
P22nL5u,was_not_confirmed,,,20260710
P12nTbT,neo,2026 NJ,2026-N21,20260710
CEQHY32,neo,2026 NH,2026-N20,20260710
P12nTOl,neo,2026 NG,2026-N19,20260710
P22nTLz,neo,2026 NF,2026-N18,20260710
P12nTMx,neo,2026 NE,2026-N17,20260710
P22nTLA,neo,2026 ND,2026-N16,20260710
A11ElG8,was_not_a_minor_planet,,,20260710
P22nLcH,was_not_confirmed,,,20260710
CEQHXY2,neo,2026 NC,2026-N15,20260710
P12nRYz,neo,2026 MU4,2026-N13,20260710
A11EjRu,does_not_exist,,,20260710
A11Ei9q,was_not_a_minor_planet,,,20260710
CEQHXE2,neo,2026 NB,2026-N10,20260710
