trksub,digest2_feed_score,V,H,nobs,arc_days,not_seen_dys,followup_status,p_real_neo
P12omkz,100,21.3,23.9,13,6.97,1.391,tracked,0.9403353906675326
P22orSC,98,21.2,26.7,10,0.19,0.783,needs_followup,0.9316124982563689
P22orV3,100,21.5,24.8,10,0.87,0.078,needs_followup,0.9313695637851758
P22pBcw,98,20.8,23.0,8,0.43,0.036,needs_followup,0.9249479339423364
CERW3K2,98,21.1,26.3,10,0.12,0.099,needs_followup,0.9245150540484218
P22orV1,100,21.7,23.3,8,0.79,0.17,needs_followup,0.9232132137479178
P12nXcf,100,21.3,24.0,17,1.02,1.428,tracked,0.9220174775477461
P12nXce,100,21.1,21.5,9,1.02,1.433,tracked,0.9216269271400139
C1G0NL5,98,22.2,26.9,8,0.1,0.075,needs_followup,0.9173380548854444
C1GCUH5,98,21.9,25.5,8,0.25,0.061,needs_followup,0.9171606542164205
P22orYE,98,21.3,26.0,9,0.84,0.077,needs_followup,0.916997155100054
P12o4v9,84,20.8,21.4,16,3.16,0.355,tracked,0.9168921137427716
C1GCUD5,100,21.4,24.8,9,0.14,0.167,needs_followup,0.9156805872192958
CERUVF2,100,21.4,26.8,8,0.06,0.082,needs_followup,0.9149065242986143
C1G02U5,98,22.0,25.0,8,0.1,0.077,needs_followup,0.9132204049965919
P12o0Y1,100,21.3,22.4,12,18.41,0.995,tracked,0.9113772914538996
CER6EZ2,98,21.3,27.3,10,0.11,0.068,needs_followup,0.9112701933737788
P12pq1T,98,21.1,26.7,8,0.2,0.12,needs_followup,0.9111390274907247
CET5352,100,21.8,25.1,8,0.07,0.155,needs_followup,0.9110660209775501
C1FNNZ5,100,21.5,24.7,7,0.11,0.312,needs_followup,0.9096647575824122
C1FNG55,100,21.1,24.0,8,0.11,0.314,needs_followup,0.9077406019060993
C1FZWE5,98,22.4,27.2,8,0.12,0.083,needs_followup,0.9069896193105537
P12qbsk,98,20.7,26.5,5,0.1,0.352,needs_followup,0.9068445881765768
P22pwAY,98,20.3,26.3,10,0.4,0.017,needs_followup,0.9068135237677432
C1FZNV5,100,22.4,25.1,8,0.11,0.136,needs_followup,0.9066915892407281
C1G22X5,100,21.5,21.6,8,0.06,0.011,needs_followup,0.9064492913336976
C1G1LY5,100,22.0,25.6,8,0.08,0.026,needs_followup,0.9054524512062871
P12pL60,100,20.4,22.9,11,0.56,0.514,needs_followup,0.9026145697122904
C1FZMH5,98,22.7,26.2,8,0.11,0.111,needs_followup,0.9021312699285294
P22pEMB,100,20.9,23.0,7,0.1,0.204,needs_followup,0.9019253956506538
P22pRlI,100,21.0,25.6,5,0.11,0.283,needs_followup,0.9016831829361817
C1G3G75,100,21.7,24.1,7,0.06,0.013,needs_followup,0.9015015000998469
C1FZZQ5,96,21.9,22.8,8,0.12,0.08,needs_followup,0.9013667378919684
P22qbsL,98,20.4,28.0,9,0.37,0.055,needs_followup,0.900036521203293
P12owCE,100,20.3,24.5,14,0.12,0.358,needs_followup,0.8997832136064421
P22pEJK,100,21.4,24.0,6,0.12,0.261,needs_followup,0.8994862386738949
P22osb9,98,20.3,24.1,9,0.82,0.013,needs_followup,0.899240129189286
C1G5A65,100,21.9,24.3,7,0.1,0.099,needs_followup,0.8978087338207787
P12os2P,100,19.9,25.5,6,0.08,0.829,needs_followup,0.8977008363740828
P12oVVb,100,21.0,24.3,6,0.12,0.23,needs_followup,0.8975027877061029
P22pEMC,98,20.0,26.5,6,0.1,0.204,needs_followup,0.8961203091575077
P22pZoy,100,21.8,24.4,5,0.07,0.341,needs_followup,0.8949376322587849
C1G1MZ5,100,22.1,31.2,7,0.07,0.034,needs_followup,0.8948370635298559
P22pwGH,100,20.5,22.9,5,0.13,0.228,needs_followup,0.8947784957564321
CERTAV2,100,20.9,23.6,8,0.07,0.112,needs_followup,0.894595013425203
P22pBfO,98,20.6,23.5,7,0.4,0.015,needs_followup,0.8935069002896822
CERRK32,100,20.6,27.1,12,0.06,0.139,needs_followup,0.8925014244774424
P22pRlG,100,20.2,23.4,6,0.11,0.281,needs_followup,0.8923629729922699
WMT0006,92,21.3,23.7,20,1.03,0.505,tracked,0.8923305360547179
CER27D2,98,20.6,26.1,18,0.18,0.065,needs_followup,0.8922898233587868
P22pZwJ,100,21.0,23.8,6,0.09,0.282,needs_followup,0.8913599714476756
P22pl34,100,21.4,21.5,5,0.13,0.184,needs_followup,0.8912349978458681
CERTMY2,100,21.0,27.1,7,0.04,0.102,needs_followup,0.8910625914007421
CEQW1L2,100,20.5,29.4,8,0.07,0.135,needs_followup,0.8903180915721651
CER1G32,98,20.8,26.0,13,0.15,0.142,needs_followup,0.8892203012383061
P12oEEW,98,20.5,27.0,6,0.58,0.202,needs_followup,0.8885311570658656
Sar2911,98,21.0,27.1,18,0.24,0.291,needs_followup,0.88705223087844
P22pZcb,100,21.0,22.2,10,0.24,0.226,needs_followup,0.8869017380581411
P22oZtr,100,20.8,21.8,5,0.09,0.155,needs_followup,0.8855276819579954
CET5572,100,21.0,24.5,7,0.07,0.152,needs_followup,0.8851638761359647
P22pWJw,100,21.0,24.2,6,0.12,0.281,needs_followup,0.8835934397380337
P22pRlH,100,20.9,24.0,6,0.1,0.286,needs_followup,0.8832683214422048
